Flavor,Total 2009,Total 2011,East,Midwest,South,West,Rep.,Dem.,Ind.
Chocolate,27,28,31,32,28,21,32,23,30
Vanilla,22,26,27,22,30,22,28,26,22
Cookie Dough/ Cookies and cream,22,22,26,22,21,19,24,18,24
Butter Pecan/ Swiss Almond,20,19,12,24,21,15,15,22,19
Mint Chocolate Chip,17,15,15,15,15,15,16,12,16
Strawberry,13,12,8,10,15,12,10,13,12
Rocky Road,14,11,8,11,8,19,14,11,9
Coffee,9,9,10,7,6,14,7,11,8
Peanut Butter,8,8,10,9,7,8,12,5,8
Cherry Vanilla,9,7,10,6,7,7,6,10,8
Pistachio,8,7,7,6,6,8,5,9,6
Black Raspberry,6,6,10,6,3,6,7,5,6
Peach,4,5,6,4,7,3,5,7,4
"Seasonal such as pumpkin or eggnog",2,4,4,4,5,4,5,3,5
Other,9,13,13,12,13,15,9,16,13
Do not eat ice cream,3,3,1,3,2,5,2,3,3
